video_number,filename,title,youtube_source_title,content_type,is_backtestable,action,cluster_id,cluster_name,is_duplicate,duplicate_of_video,module_to_code,core_concept,reference_range_candle,entry_model,htf_timeframes,ltf_timeframes,session_time_filter,asset_focus,notes,implementation_status,strategy_module_id,strategy_folder,strategy_registry_id,coded_at,backtested_at,instruments_tested_count,anti_bias_review_passed,anti_bias_notes,backtest_error,data_source,data_root_used,bt_total_trades_all,bt_win_rate_all,bt_profit_factor_all,bt_max_drawdown_pct_all,bt_total_pnl_all,bt_sharpe_ratio_all,bt_avg_rr_all,best_instrument,best_instrument_pf,best_instrument_win_rate,best_instrument_pnl,best_instrument_trades,worst_instrument,instrument_affinity_notes
11,video_11_ICT_Volume_Profile_Breakout_St.md,ICT + Volume Profile Breakout Strategy,ICT + Volume Profile = Insane Profit,strategy,yes,DUPLICATE-SKIP,G,VP Failed Auction / Breakout,yes,8,vp_failed_auction_generic,18:00-8:55 pre-market NQ VP failed auction or breakout with 5M ICT FVG/OB,Pre-market FRVP,Failed auction or breakout + FVG/OB,5M,5M,Pre 9:00 / NY,NQ,NQ-specific VP window variant of G,,,,,,,,,,,,,,,,,,,,,,,,,,
12,video_12_The_800_AM_Candle_Strategy.md,The 8:00 AM Candle Strategy,This 8AM Candle Strategy Is Boring But It Makes Money,strategy,yes,DUPLICATE-SKIP,F,8AM One-Candle Sweep,yes,42,one_candle_8am,Mark 8AM 1H range; sweep range + neighbor swing; 1M MSS/IFVG close inside,8AM 1H,MSS / IFVG + close inside,1H,1M,Pre-market / NY open,"NQ, Gold",Duplicate of 8AM one-candle,,,,,,,,,,,,,,,,,,,,,,,,,,
13,video_13_The_3-Step_A_ICT_Gold_Strategy.md,The 3-Step A+ ICT Gold Strategy,The 3-Step A+ ICT Gold Strategy (that actually works),strategy,yes,CODE-CANONICAL,I,HTF Trend + SMT + CISD,no,,htf_trend_smt_cisd,Trade obvious 1H/4H Gold trend into hourly FVG with Gold/Silver SMT; 5M CISD or MSS retest,1H/4H trend FVG,SMT + CISD / breaker,1H/4H,5M,Trend session,Gold/Silver,Canonical HTF trend + SMT model,,,,,,,,,,,,,,,,,,,,,,,,,,
14,video_14_The_One-Candle_Trading_Strategy.md,The One-Candle Trading Strategy,This One Candle Trading Strategy Is The Fastest Way To Become Profitable,strategy,yes,DUPLICATE-SKIP,F,8AM One-Candle Sweep,yes,42,one_candle_8am,8AM 1H boundaries + adjacent swing sweep; 1M MSS/IFVG; close inside; target opposite boundary,8AM 1H,MSS / IFVG,1H,1M,Pre 9:30 NY,NQ,Duplicate of 8AM one-candle,,,,,,,,,,,,,,,,,,,,,,,,,,
15,video_15_Orderflow_Boot_Camp_Lesson_1_Vo.md,Orderflow Boot Camp Lesson 1: Volume Profile,Orderflow Boot Camp,non_strategy_tutorial,no,SKIP,,,no,,,Educational lesson on VP shapes and D-shape breakout mechanics,,,,,,General,Not a standalone backtestable edge,,,,,,,,,,,,,,,,,,,,,,,,,,
16,video_16_The_Easiest_Trading_Strategy_for_Beginners_in_2026.md,Easiest Strategy for Beginners 2026,The Easiest Trading Strategy for Beginners in 2026,strategy,yes,DUPLICATE-SKIP,F,8AM One-Candle Sweep,yes,42,one_candle_8am,Mechanical 8AM 1H sweep of range + left PD array; 1M MSS/CISD close inside,8AM 1H + HTF PD,MSS / CISD + FVG/breaker,1H,1M,Morning,NQ,Duplicate of 8AM one-candle,,,,,,,,,,,,,,,,,,,,,,,,,,
17,video_17_The_1H_Pattern_Nobody_Talks_About_1H_1M_Strategy.md,1H Pattern Nobody Talks About,The 4H Pattern Nobody Talks About (step by step) - hourly variant,strategy,yes,CODE-CANONICAL,J,Hourly-Open PO3 + Fib,no,,hourly_po3_fib,On hourly open sweep nearest unswept 5M swing; manipulation ends at Fib -2/-2.5; 1M MSS/FVG,Session 1H opens (8PM/4AM/8AM),PO3 hourly + Fib SD + MSS,1H,5M -> 1M,Per session candle,Gold,Distinct from 10AM 4H PO3 anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
18,video_18_The_Only_GOLD_Trading_Strategy_You_Need_In_2026_St.md,Only GOLD Strategy 2026,The Only GOLD Trading Strategy You Need In 2026,strategy,yes,DUPLICATE-SKIP,J,Hourly-Open PO3 + Fib,yes,17,hourly_po3_fib,Nearly all 1H candles wick: sweep pre-open 5M liquidity to Fib -2/-2.5 then 1M MSS/CISD,Any 1H open,5M sweep + Fib + MSS/CISD,1H,5M -> 1M,Asia/London/NY,"Gold, NQ",Duplicate of hourly PO3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,video_19_Become_a_Profitable_Trader_in_ONE_DAY.md,Become a Profitable Trader in ONE DAY,Become a Profitable Trader in ONE DAY!,non_strategy_mindset,no,SKIP,,,no,,,Trading psychology and identity — no executable setup,,,,,,,Mindset only,,,,,,,,,,,,,,,,,,,,,,,,,,
20,video_20_This_Secret_One_Candle_Trading_Strategy.md,Secret One-Candle Strategy,This Secret One Candle Trading Strategy,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,10AM 4H open PO3: 1M MSS; Fib -2/-2.5; SMT + CISD,10AM 4H,Fib SD + SMT + CISD,4H,1M,10AM,"NQ, Gold",Duplicate 10AM PO3,,,,,,,,,,,,,,,,,,,,,,,,,,
21,video_21_Video_1_This_Trading_Strategy_Will_Change_Your_Lif.md,Video 1: Strategy Will Change Your Life 2026,This Trading Strategy Will Change Your Life In 2026,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,10AM 4H AMD: tap 5M/15M PDA; SMT; CISD; Fib expansion,10AM 4H PO3,SMT + CISD + Fib,4H,5M/15M -> 1M,10AM,"NQ, Gold",Duplicate 10AM PO3,,,,,,,,,,,,,,,,,,,,,,,,,,
22,video_22_Video_2_I_Simplified_ICT_AMD_Trading_Strategy.md,Video 2: Simplified ICT AMD,I Simplified ICT AMD Trading Strategy,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,10AM 4H PO3 with HTF PO3 indicator; manipulation to -2/-2.5; SMT; CISD,10AM 4H,SMT + CISD + Fib,4H,1M/5M,10AM,NQ/ES,Duplicate 10AM PO3,,,,,,,,,,,,,,,,,,,,,,,,,,
23,video_23_Video_3_The_4H_Pattern_Nobody_Talks_About_step_by.md,Video 3: 4H Pattern step by step,The 4H Pattern Nobody Talks About (step by step),strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,10AM 4H premium/discount + 5M/15M PDA + SMT + CISD + Fib,10AM 4H,SMT + CISD,4H,5M/15M -> 1M,10AM,"Gold, NQ",Duplicate 10AM PO3,,,,,,,,,,,,,,,,,,,,,,,,,,
24,video_24_Video_4_The_Only_ICT_Trading_Strategy_Ill_Be_Using.md,Video 4: Only ICT Strategy 2026,The Only ICT Trading Strategy I'll Be Using In 2026,strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,Post-9:30 tap 5M/15M IRL FVG toward DOL; 1M sweep + invert all FVGs in leg,DOL + 5M/15M FVG,1M IFVG stack,1H/4H DOL,5M/15M -> 1M,9:30-11:30 NY,NQ,Duplicate IFVG ladder; see V28,,,,,,,,,,,,,,,,,,,,,,,,,,
25,video_25_Video_5_The_3-Step_A_ICT_Strategy_That_Works_Every.md,Video 5: 3-Step A+ ICT Strategy,The 3-Step A+ ICT Strategy That Works Every Time,strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,1H trend; post-9:30 5M/15M FVG; highest-TF inversion ladder (1M-5M),1H structure,Multi-TF highest IFVG,1H,5M/15M -> 1M-5M,After 9:30,NQ,Duplicate IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
26,video_26_Live_Trading_NQ_-_Inverse_FVG_Scalp_Setup.md,Live Trading NQ - Inverse FVG Scalp,Live trading session,non_strategy_demo,no,SKIP,K,Post-9:30 IFVG Ladder,no,28,ifvg_inversion_ladder,Live demo applying IFVG scalp — not new rules,,IFVG scalp,,1M,Live NY,NQ,Demo only; subset of K,,,,,,,,,,,,,,,,,,,,,,,,,,
27,video_27_The_Power_of_3_AMD_Silver_Bullet_Strategy.md,Power of 3 AMD Silver Bullet,This ICT Strategy Is Boring But It Made Me Profitable,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,10AM 4H PO3: enter after -1.0 Silver Bullet close; PD array retest,10AM 4H,-1.0 SB + FVG/OB,4H,1M,10AM,NQ,Silver Bullet entry variant; hyperparam on H,,,,,,,,,,,,,,,,,,,,,,,,,,
28,video_28_Multi-Timeframe_Highest_Inversion_FVG_Model.md,Multi-Timeframe Highest Inversion FVG Model,This iFVG Strategy is The Easiest Way to Become Profitable FAST,strategy,yes,CODE-CANONICAL,K,Post-9:30 IFVG Ladder,no,,ifvg_inversion_ladder,Post-9:30 displacement into 5M/15M FVG; pick highest TF IFVG in manipulation leg,Post-9:30 displacement FVG,Highest-TF IFVG,1H/4H,5M/15M -> 1M-5M,After 9:30,NQ,Best canonical for IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
29,video_29_Time-Based_Volume_TBV_Core_Strategy.md,Time-Based Volume (TBV) Core Strategy,Give Me 9 Minutes & I'll Teach You My 80% Winrate Trading Strategy,strategy,yes,CODE-CANONICAL,L,TBV Absorption,no,,tbv_absorption,Same-TF FVG + swing sweep: sweep candle must close as absorption; enter next open,Same-TF FVG zone,TBV absorption close,3M+,3M+,Session-agnostic,Multi,Canonical TBV model,,,,,,,,,,,,,,,,,,,,,,,,,,
30,video_30_3-Step_Time-Based_Volume_TBV_Reassessment_Model.md,TBV Reassessment Model,My 80% Winrate 3-Step Trading Strategy That Works!,strategy,yes,DUPLICATE-SKIP,L,TBV Absorption,yes,29,tbv_absorption,Same TBV engine with optional 50% equilibrium or opening-price retest,Same-TF FVG,TBV + 50% / open retest,5M/15M/1H,5M/15M/1H,Any,Multi,Entry refinement on L; hyperparams,,,,,,,,,,,,,,,,,,,,,,,,,,
31,video_31_1_One_Trading_Setup_For_Life_-_ICT_10AM_PO3.md,One Trading Setup For Life - ICT 10AM PO3,One Trading Setup For Life - ICT 10AM PO3,strategy,yes,CODE-CANONICAL,H,10AM 4H PO3 / AMD,no,,po3_10am_4h,6AM vs 2AM 4H bias; 10AM manipulation to 15M FVG at Fib -2/-2.5; 1M MSS/IFVG,2AM/6AM/10AM 4H,2-candle bias + PO3 + MSS/IFVG,4H,15M -> 1M,10AM,"NQ, Gold",Best canonical for 10AM PO3,,,,,,,,,,,,,,,,,,,,,,,,,,
32,video_32_2_Insane_ICT_Liquidity_Sweep_Trading_Strategy_That.md,Insane ICT Liquidity Sweep,Insane ICT Liquidity Sweep Trading Strategy That Works Like Magic,strategy,yes,DUPLICATE-SKIP,L,TBV Absorption,yes,29,tbv_absorption,15M-only: first sweep candle must close bullish/bearish (TBV); market entry next bar,15M intraday swings,TBV 15M-only,15M,15M,All sessions,Multi,15M-only TBV variant,,,,,,,,,,,,,,,,,,,,,,,,,,
33,video_33_3_Stupid_Simple_Gold_Trading_Strategy_That_Works_E.md,Stupid Simple Gold Strategy,Stupid Simple Gold Trading Strategy That Works Everyday!,strategy,yes,DUPLICATE-SKIP,M,Gold Judas / Midas 8-9PM,yes,56,gold_judas_8pm,Asian 8PM: 15M pre-open H/L; sweep + 1M MSS + close inside; breaker or FVG,8PM Asian open (15M ref),Judas sweep + MSS + breaker/FVG,15M,1M,8PM-12AM NY,Gold,Duplicate Gold Judas,,,,,,,,,,,,,,,,,,,,,,,,,,
34,video_34_4_Combining_ICT_Footprint_Chart_To_Take_High_Prob.md,ICT + Footprint Chart,Combining ICT & Footprint Chart To Take High Probability Trades,strategy,yes,DUPLICATE-SKIP,A,VP + Orderflow Absorption,yes,1,vp_orderflow_absorption,ICT liquidity sweep at key level + footprint delta absorption in wick,Session/key liquidity,Footprint absorption,15M/1M,15M/1M + footprint,Key levels,NQ,Footprint confirmation variant of A,,,,,,,0,,,,,,,,,,,,,,,,,,,
35,video_35_5_Easy_9AM_Candle_PO3_Strategy_That_Actually_Works.md,Easy 9AM Candle PO3,Easy 9AM Candle PO3 Strategy That Actually Works!,strategy,yes,DUPLICATE-SKIP,F,8AM One-Candle Sweep,yes,42,one_candle_8am,Mislabeled PO3: uses 8AM 1H range after 9AM open; MSS + breaker retest,8AM 1H + 9AM open,MSS + breaker retest,1H,1M,9AM+ NY,NQ,Breaker retest variant of F,,,,,,,,,,,,,,,,,,,,,,,,,,
36,video_36_10AM_PO3_Trading_Setup.md,10AM PO3 Trading Setup,My One Trading Setup For Life - 10AM PO3,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,6AM vs 2AM bias; 10AM sweep left 5M liquidity; 5M CISD/IFVG,10AM 4H PO3,5M CISD/IFVG,4H,5M,10AM,"NQ, Gold",5M execution variant of H,,,,,,,,,,,,,,,,,,,,,,,,,,
37,video_37_The_1-Candle_Hourly_Range_Strat.md,1-Candle Hourly Range Strategy,The 1-Candle Hourly Range Strategy,strategy,yes,DUPLICATE-SKIP,F,8AM One-Candle Sweep,yes,42,one_candle_8am,7AM Gold or 8AM NQ 1H range; sweep boundary; 2M CISD + close inside,7AM/8AM 1H,CISD + range re-entry,1H,2M,NY,"Gold, NQ",2M execution variant of F,,,,,,,,,,,,,,,,,,,,,,,,,,
38,video_38_4H_Core_Trend_SMT_Divergence_S.md,4H Core Trend & SMT Divergence System,Ultimate ICT Gold Trading Strategy With 73% Winrate,strategy,yes,DUPLICATE-SKIP,I,HTF Trend + SMT + CISD,yes,13,htf_trend_smt_cisd,Obvious 4H trend into 4H FVG; Gold/Silver SMT; 15M CISD toward DOL,4H FVG,SMT + CISD,4H,15M,London 3-5AM; NY 7-11AM,Gold/Silver,4H+15M variant of I,,,,,,,,,,,,,,,,,,,,,,,,,,
39,video_39_Mechanical_2-Day_Daily_Bias_Str.md,Mechanical 2-Day Daily Bias Strategy,Best ICT Gold Trading Strategy That Works Everyday!,strategy,yes,CODE-CANONICAL,N,Daily Bias + 15M Judas,no,,daily_bias_judas,Two same-direction daily closes -> day-3 bias; 15M pre-open liquidity sweep against bias; MSS/CISD,Daily 2-candle bias,15M sweep + MSS/CISD,Daily,15M,Asia/London/NY,"Gold, NQ",Canonical daily bias judas,,,,,,,,,,,,,,,,,,,,,,,,,,
40,video_40_Advanced_AMD_Precision_Project.md,Advanced AMD & Precision Projection Model,I Simplified ICT PO3 Trading Strategy.. (High Winrate),strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,2-day daily bias + 15M manipulation to Fib -2/-2.5; reverse Fib distribution target,Daily + 15M open,2-day bias + Fib PO3 + CISD,Daily,15M,London/NY,"NQ, Gold",Daily bias + PO3 projections on H,,,,,,,,,,,,,,,,,,,,,,,,,,
41,video_41_ICT_Daily_Bias_Simplified_Strategy.md,ICT Daily Bias Simplified Strategy,I Simplified ICT Daily Bias..,strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,Daily origin + DOL + 1H orderflow; post-9:30 Judas into 15M/5M FVG; 1M IFVG,Daily/1H narrative,1M IFVG at NY open,Daily,1H -> 15M/5M -> 1M,9:30 NY,Multi,Adds daily bias framing to K,,,,,,,,,,,,,,,,,,,,,,,,,,
42,video_42_The_8_AM_One-Candle_Trading_Strategy.md,8 AM One-Candle Trading Strategy,This One Candle Can Change Your Life.. (Stupid Simple Strategy),strategy,yes,CODE-CANONICAL,F,8AM One-Candle Sweep,no,,one_candle_8am,8AM 1H range sweep; after 9:30; 1M MSS + close inside; breaker/OB/FVG,8AM 1H,MSS + PD array,1H,1M,After 9:30,NQ,Best canonical for 8AM one-candle,,,,,,,,,,,,,,,,,,,,,,,,,,
43,video_43_Live_Day_Trading_Session_Inversion_FVG_Focus.md,Live Day Trading Session - IFVG Focus,"Live Day Trading Making $5,625",non_strategy_demo,no,SKIP,K,Post-9:30 IFVG Ladder,no,28,ifvg_inversion_ladder,Live IFVG-focused session — application demo,,IFVG,,1M,Live,NQ,Demo only,,,,,,,,,,,,,,,,,,,,,,,,,,
44,video_44_The_Lazy_Liquidity_Strategy_Mechanical_ORB_Setup.md,Lazy Liquidity / Mechanical ORB,"The Laziest Liquidity Trading Strategy Making $15,000/Month",strategy,yes,CODE-CANONICAL,O,London 3AM ORB,no,,london_orb,London 3AM 15M candle range; 15M body breakout with retest or aggressive close; 1:2 RR,3AM 15M ORB,ORB breakout/retest,15M,15M,London 3AM,GBPUSD,Unique ORB model,,,,,,,,,,,,,,,,,,,,,,,,,,
45,video_45_Lower-Timeframe_Inversion_Masterclass.md,Lower-TF Inversion Masterclass,Lower Timeframe Inversion Masterclass,strategy,yes,DUPLICATE-SKIP,F,8AM One-Candle Sweep,yes,42,one_candle_8am,8AM 1H sweep post-9:30; highest available TF IFVG (5M down to 1M),8AM 1H + D/1H magnets,IFVG hierarchy,Daily/1H,5M-1M,After 9:30,NQ,F+K hybrid; IFVG entry is hyperparam on F,,,,,,,,,,,,,,,,,,,,,,,,,,
46,video_46_1_My_Simple_Scalping_Trading_Strategy_To_Make_1087.md,"Simple Scalping $10,870/Month","My Simple Scalping Trading Strategy To Make $10,870/Month",strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,Daily/15M bias; 9:30-11:30 tap 15M FVG; 1M highest IFVG + SMT,15M FVG,Highest-TF IFVG + SMT,Daily,15M -> 1M-5M,9:30-11:30,NQ/ES,Duplicate IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
47,video_47_2_Gold_Scalping_Strategy_For_Beginners_FULL_GUIDE.md,Gold Scalping Beginners Guide,Gold Scalping Strategy For Beginners (FULL GUIDE),strategy,yes,DUPLICATE-SKIP,E,HTF FVG Inversion Stack,yes,6,htf_fvg_inversion,1H key levels; 5M dealing-range FVG inversion; max 3 trades/day,1H FVG/levels,5M IFVG stack,1H,5M,Asia/London/NY,Gold,Gold 5M inversion variant of E,,,,,,,,,,,,,,,,,,,,,,,,,,
48,video_48_3_Life_Of_A_Day_Trader_Living_in_Bali.md,Life Of A Day Trader in Bali,Life Of A Day Trader Living in Bali,non_strategy_demo,no,SKIP,K,Post-9:30 IFVG Ladder,no,28,ifvg_inversion_ladder,Vlog + brief IFVG recap — lifestyle content,,IFVG ladder,,,,,Lifestyle + demo,,,,,,,,,,,,,,,,,,,,,,,,,,
49,video_49_4_Stupid_ICT_IFVG_Trading_Strategy_That_Works.md,Stupid ICT IFVG Strategy,Stupid ICT IFVG Trading Strategy That Works,strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,Standalone IFVG entry rules with minimal HTF context,Dealing range,IFVG,LTF,LTF,,Multi,Simplified K variant,,,,,,,,,,,,,,,,,,,,,,,,,,
50,video_50_5_Dumbest_ICT_Gold_Trading_Strategy_Makes_10000Mon.md,Dumbest ICT Gold Strategy,"Dumbest ICT Gold Trading Strategy Makes $10,000/Month",strategy,yes,DUPLICATE-SKIP,E,HTF FVG Inversion Stack,yes,6,htf_fvg_inversion,1H orderflow; Asia 8PM-12AM; tap 1H PDA; 5M sweep + FVG inversion,1H PDA,5M IFVG,1H,5M,Asia 8PM-12AM,Gold,Asia Gold variant of E,,,,,,,,,,,,,,,,,,,,,,,,,,
51,video_51_Midas_Model_5M_Timeframe.md,Midas Model 5M,Easy Gold Trading Strategy That Works Every Time!,strategy,yes,DUPLICATE-SKIP,M,Gold Judas / Midas 8-9PM,yes,56,gold_judas_8pm,Asian session 5M liquidity sweep; invert all FVGs in dealing range,5M dealing range,5M IFVG,5M,5M,Asian post-8PM,Gold,5M Midas variant of M,,,,,,,,,,,,,,,,,,,,,,,,,,
52,video_52_Finding_The_Correct_Draw_On_Liquidity.md,Finding Correct Draw on Liquidity,Finding The Correct Draw On Liquidity With 96% Accuracy,strategy,yes,CODE-CANONICAL,P,Session DOL via 0.79 Fib,no,,session_dol_fib,London session H/L sweep; 1M close beyond 0.79 Fib confirms DOL; extreme FVG entry,London 15M session,0.79 Fib DOL + FVG,15M,1M,Pre-NY London,Futures,Unique Fib DOL filter,,,,,,,,,,,,,,,,,,,,,,,,,,
53,video_53_ICT_Trading_Strategy_for_Consistent_Profits.md,ICT Strategy for Consistent Profits,"This Stupid ICT Trading Strategy Makes $1,000 Everyday!",strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,Pre-9:30 mark 15M FVG; tap + 1M SMT + W-shape IFVG,15M FVG,SMT + IFVG,15M,1M,NY open,MNQ/ES,Duplicate IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
54,video_54_Liquidity_Range_Trading_Strategy.md,Liquidity Range Trading Strategy,The Only Liquidity Strategy You'll Ever Need,strategy,yes,CODE-CANONICAL,Q,Range Sweep + MSS,no,,range_sweep_mss,5M range via MSS in pullback; sweep boundary; MSS + close inside; auto/breaker block,5M liquidity range,Range sweep + MSS + breaker,5M,5M,NY; 3/session max,NQ,Canonical 5M range sweep,,,,,,,,,,,,,,,,,,,,,,,,,,
